0.0147,-0.1898,0.0678,0.1283,0.1659,-0.0527,0.0704,-0.0018,0.2370,0.0137,0.0161,0.1092,-0.1700,-0.0191,0.0516,0.0725,0.0307,-0.0961,0.0909,-0.0771,-0.0181,-0.0618,-0.0782,0.0547,-0.2410,0.1170,-0.0741,0.0034
-0.0994,0.0419,-0.0603,0.0775,0.0359,-0.1039,0.0274,-0.0297,-0.0502,0.0133,-0.1052,-0.0731,0.1881,0.0351,-0.2087,0.0423,-0.0218,-0.1431,0.1581,0.0930,0.0586,0.0418,-0.0827,-0.0075,0.0328,0.0599,-0.0805,-0.0959
-0.0634,-0.1110,0.1247,0.1275,-0.1299,-0.0206,-0.1056,0.1234,-0.2030,-0.0308,-0.0513,-0.0418,0.1034,-0.1543,0.1537,0.0827,-0.1048,0.1179,-0.1325,0.0678,0.0603,-0.1227,0.0812,0.0967,0.1316,0.1367,0.0672,-0.0276
0.0277,-0.0480,-0.0017,-0.1450,-0.0585,0.1079,0.1242,-0.0522,-0.1737,0.1459,-0.0697,0.0743,-0.0307,0.0051,-0.0142,-0.0024,-0.1399,-0.0250,-0.0396,-0.0430,-0.0061,-0.0256,-0.0604,-0.1040,-0.1299,-0.0999,0.0605,-0.0171
-0.0772,-0.0333,-0.0046,0.0475,0.0130,0.0277,-0.0762,0.0867,-0.0526,0.1374,-0.1962,-0.0730,-0.0518,-0.0653,-0.0807,0.0364,0.0565,0.0384,-0.0190,0.0170,0.0954,-0.0124,-0.0440,-0.0106,-0.0922,0.0093,0.0404,-0.0947
0.0232,-0.0482,0.0382,-0.1406,-0.0193,0.0011,0.0555,0.0428,0.1218,-0.0973,-0.0567,-0.0104,0.0536,0.1256,0.0746,0.1486,0.0622,0.0835,0.0603,-0.0303,0.1387,-0.0474,0.1870,0.0149,0.0724,0.0010,0.2114,0.0628
0.1165,0.0082,0.0137,0.1467,-0.1297,0.0814,-0.1035,0.1212,-0.0273,-0.0248,-0.0602,-0.0643,0.0641,0.1057,-0.1453,-0.0363,-0.0194,0.0246,-0.0996,0.0407,0.1241,0.1629,0.1941,-0.1255,0.0500,-0.0838,0.0597,-0.0190
-0.0641,0.1277,0.0248,-0.1983,0.1526,0.0035,0.1087,0.1469,-0.0390,-0.0839,-0.0439,0.0186,-0.0315,-0.0952,0.1544,-0.1563,-0.0867,-0.2144,0.0356,-0.0540,0.1431,-0.0523,-0.0683,-0.0774,-0.0206,0.2028,-0.0129,-0.0958
-0.0758,-0.0418,0.0484,-0.0904,0.0163,0.0967,-0.0223,-0.0339,0.1706,0.0841,0.1550,0.0008,-0.0701,0.0263,-0.1819,-0.0946,-0.0402,0.1406,0.0888,0.0828,-0.0464,-0.1285,-0.0001,0.0931,-0.0243,-0.1332,-0.2422,0.1257
-0.0990,-0.1739,-0.0253,0.1990,0.0975,-0.0937,0.0656,-0.0233,-0.0543,-0.1212,-0.1890,-0.0413,-0.0590,-0.0089,0.1035,0.1131,-0.0120,0.0137,0.0966,0.0014,0.2570,-0.0165,0.0895,0.1680,0.0069,0.1529,-0.0360,0.0033
