0.2006,0.2372,0.0577,0.8630,0.6248
0.0056,0.0151,0.0000,0.9638,0.1114
0.3210,0.3704,0.1154,0.8294,0.4354
0.1206,0.0886,0.1346,0.9379,0.7302
1.0000,0.8623,1.0000,0.4332,0.8147
0.1322,0.1158,0.1154,0.8999,0.6548
0.1127,0.1387,0.0000,0.8256,0.5398
0.0239,0.0240,0.0000,0.9442,0.2622
0.8572,1.0000,0.6154,0.8315,0.3183
0.4146,0.3467,0.3269,0.8243,0.6118
0.0091,0.0036,0.0000,0.9659,0.2796
0.0448,0.0373,0.0192,0.9510,0.5603
0.4047,0.3272,0.3846,0.6483,0.7992
0.2513,0.2031,0.2115,0.8447,0.7634
0.0977,0.1672,0.0000,0.9112,0.1304
0.0912,0.1735,0.0000,0.9395,0.0000
0.1716,0.1789,0.1538,0.9881,0.4191
0.1780,0.1430,0.1538,0.8021,0.6841
0.0199,0.0167,0.0192,0.9743,0.4683
0.1558,0.1662,0.1731,0.8643,0.4395
0.2335,0.2761,0.1538,0.7821,0.5570
0.4118,0.4856,0.0000,0.8598,0.1694
0.1391,0.1138,0.0962,0.9161,0.6240
0.1241,0.1088,0.0769,0.8703,0.6297
0.2189,0.5754,0.0962,0.9391,0.0554
0.0272,0.0246,0.0000,0.9499,0.5011
0.0400,0.0847,0.0000,0.9521,0.1663
0.1097,0.1123,0.0577,0.9274,0.4115
0.0207,0.0096,0.0192,0.9558,0.5350
0.3501,0.4062,0.2308,0.4441,0.8883
0.0811,0.0518,0.0962,0.9513,0.7120
0.7605,0.9388,0.5769,0.0000,0.9517
0.2744,0.3580,0.1538,0.9231,0.2762
0.0154,0.0389,0.0000,0.9394,0.1845
0.4077,0.3034,0.3269,0.8080,1.0000
0.1700,0.5422,0.0000,0.9787,0.0143
0.0842,0.0736,0.0577,1.0000,0.5437
0.4936,0.4502,0.3269,0.7449,0.7275
0.0293,0.0193,0.0192,0.9156,0.6852
0.1863,0.1930,0.0769,0.8891,0.4416
0.0226,0.0230,0.0000,0.9374,0.5394
0.2827,0.4941,0.2115,0.9413,0.2580
0.9225,0.7395,0.7692,0.4160,0.8236
0.0436,0.0275,0.0192,0.9508,0.5694
0.0000,0.0000,0.0000,0.9646,0.0694
0.2268,0.2255,0.2308,0.9414,0.6019
0.1472,0.1364,0.1154,0.9764,0.3244
0.0701,0.1138,0.0385,0.9736,0.0280
0.1541,0.1274,0.1346,0.9282,0.6841
0.0107,0.0260,0.0000,0.9577,0.0093
